Year,Gas,Petrol,Diesel,Other
1982,0,94,0,0
1983,0,347,0,0
1984,300,0,334,0
1985,1030,1184,984,0
1986,511,681,1066,340
1987,1817,1840,400,940
1988,2999,1882,2060,1
1989,2626,1641,1304,330
1990,1290,3247,1,0
1991,1566,6776,1063,400
1992,2358,1925,2824,350
1993,1231,3375,2302,0
1994,2386,5691,2569,77
1995,2373,5115,4563,666
1996,4264,6792,6996,1235
1997,7031,7336,7877,370
1998,5578,7511,8634,310
1999,4069,6147,16742,1493
2000,6459,10754,23102,531
2001,3932,7590,22115,1029
2002,3375,7069,18144,479
2003,6032,8518,19605,281
2004,8332,7978,17400,1821
2005,5785,7269,23551,1918
2006,6439,12372,18024,1878
2007,10902,21258,24683,1525
2008,12876,22090,25471,1516
2009,2179,5682,10191,1204
2010,2649,7222,13150,442
2011,3893,11628,23221,1688
2012,1899,8763,27958,1736
2013,1055,6517,16255,607
2014,409,1942,4703,329
2015,50,702,1172,125
2016,0,108,220,25
